text,true,zero,one,five,zero_correct,one_correct,five_correct,change_type
@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,anger,anger,anger,sadness,True,True,False,worse
"Realest ever, relentless ever, inevitable that I win.",anger,joy,joy,joy,False,False,False,no_improvement
"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger,anger,anger,anger,True,True,True,unchanged
It's the most magical time of the year......Xmas party announced and the #outrage commences. Gotta love Silicon Valley millennials.,anger,anger,anger,anger,True,True,True,unchanged
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming",anger,anger,anger,anger,True,True,True,unchanged
"I think our defense here at USC is playing well, we just need to fix a few things on offense and we can win the PAC 12 this year'",anger,joy,joy,joy,False,False,False,no_improvement
The rage has died down.,anger,sadness,anger,anger,False,True,True,improved
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",anger,anger,anger,sadness,True,True,False,worse
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger,joy,joy,joy,False,False,False,no_improvement
@ZubairSabirPTI  pls dont insult the word 'Molna',anger,anger,anger,anger,True,True,True,unchanged
@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger,anger,anger,sadness,True,True,False,worse
@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _😃,anger,joy,joy,joy,False,False,False,no_improvement
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison ,anger,anger,anger,anger,True,True,True,unchanged
"@marcavis @AntisocialJW2 I've always been fiery, but never radical.",anger,anger,anger,anger,True,True,True,unchanged
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",anger,anger,anger,anger,True,True,True,unchanged
"@TrevorHMoore @paget_old In Scotland, the right-wingers are the most rabid anti-nationalists. Socialists are mostly in favour.",anger,anger,anger,anger,True,True,True,unchanged
Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,anger,fear,fear,fear,False,False,False,no_improvement
"Anger, resentment, and hatred are the destroyer of your fortune today.",anger,anger,anger,anger,True,True,True,unchanged
Sting is just too damn earnest for early morning listening. ,anger,anger,anger,sadness,True,True,False,worse
Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake,anger,joy,joy,sadness,False,False,False,no_improvement
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help  #heart #HeartRacing,fear,fear,fear,fear,True,True,True,unchanged
T5ylw ansh a79l shy 7lw mn wayed nas fe whatsapp,fear,joy,joy,joy,False,False,False,no_improvement
Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation #awful,fear,anger,anger,anger,False,False,False,no_improvement
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,fear,anger,fear,anger,False,True,False,improved
Another fun fact: i am afraid,fear,fear,fear,fear,True,True,True,unchanged
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,fear,anger,anger,anger,False,False,False,no_improvement
The moment you bring her to meet your best friend and you're nervous af! 😬😆  #thefriendtest,fear,joy,fear,fear,False,True,True,improved
Northampton are awful 🙈,fear,anger,anger,sadness,False,False,False,no_improvement
@hollywooddivas @TMZ_Sports Idiots like Larry Sanders scare us All!How can Morons these days Rush 2 Judge #Police w/o all facts yet?FU thugs,fear,anger,anger,anger,False,False,False,no_improvement
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius ,fear,anger,anger,anger,False,False,False,no_improvement
"He called me fat, so I pushed him into the lockers then he threaten to sue me' 😂",fear,joy,anger,anger,False,False,False,no_improvement
The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? ,fear,fear,fear,fear,True,True,True,unchanged
@LethalWeaponFOX This show SUCKS! #lame #awful you even used the same names?? lol SO SO bad! #Failed #notworth2minutes. Off air SOON,fear,anger,anger,anger,False,False,False,no_improvement
I know this is going to be one of those nights where it takes an Act of God to fall asleep. ,fear,sadness,fear,fear,False,True,True,improved
You want  bad service use #frontier they have #terrible service. Go to #AT&amp;T anybody is better. I am going to complain to better business,fear,anger,anger,anger,False,False,False,no_improvement
Watching It Follows.  This is a super freaky movie.  #scary,fear,fear,fear,fear,True,True,True,unchanged
"⊰ @FrameOfAnAngel ⊱ \n\n+ Of them. I'm here for answers, and if I scare her to death, there won't be answers for me. \n\nSo instead, I just +",fear,fear,fear,fear,True,True,True,unchanged
"At school, my classmate is with me at music class and he sang Hallelujah like, god, with my friend we were breathless.",fear,joy,joy,joy,False,False,False,no_improvement
@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! #bully,fear,anger,anger,anger,False,False,False,no_improvement
@lukeshawtime terrible,fear,sadness,anger,sadness,False,False,False,no_improvement
"@Geminiak @LondonNPC you're welcome! #wordgeek \nAlso, good to put a face to the twitter feed, even if it was only a cheery hello! 😀",joy,joy,joy,joy,True,True,True,unchanged
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. #hilarious",joy,joy,anger,anger,True,False,False,worse
@NateBLoL no it was that clear American naturally flavored sparkling water,joy,joy,joy,joy,True,True,True,unchanged
"Ready for that nice, breezy, calm, sunshine weather.🍂🍁 #Autumn",joy,joy,joy,joy,True,True,True,unchanged
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day. #laughter #challenge #kashmir #baloch,joy,joy,joy,joy,True,True,True,unchanged
@Communism_Kills i get the subway melt and make sure it's only hearty italian bread... black olives are a must though,joy,joy,joy,joy,True,True,True,unchanged
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",joy,joy,joy,joy,True,True,True,unchanged
Heather that was #hilarious! @MsHeatherBates @pattonoswalt @chrishansen #AnthonyWeiner #15gets20 #NYC,joy,joy,joy,joy,True,True,True,unchanged
How can l rule my mind !!!!!! \nIt's hilarious that you can't 😭😑😮,joy,joy,anger,sadness,True,False,False,worse
Val reminds me of one of the cheerful witches that looks after Aurora in Disney’s Sleeping Beauty. #GBBO,joy,joy,joy,joy,True,True,True,unchanged
@Bluebelle89 @lsmith855 liking the optimism,joy,joy,joy,joy,True,True,True,unchanged
@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,joy,joy,joy,joy,True,True,True,unchanged
"A cheerful heart is good medicine, but a broken spirit saps a person's strength.' {Proverbs 17:22} #WednesdayWisdom",joy,joy,joy,joy,True,True,True,unchanged
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day.  #challenge #kashmir #baloch,joy,joy,joy,joy,True,True,True,unchanged
Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts,joy,joy,joy,joy,True,True,True,unchanged
